TITLE,DESCRIPTION,PRICE,QUANTITY,TAGS,MATERIALS,WHO_MADE,IS_SUPPLY,WHEN_MADE,CATEGORY,SHIPPING_PROFILE,SECTION,VARIATION_1_NAME,VARIATION_1_VALUES,SKU,DESIGN_ID,PRODUCT_TYPE,NICHE
Zen Garden Coffee Mug | 11oz Ceramic Cup | Japanese Zen Gift,"✦ ZEN GARDEN

A tranquil, minimalist design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of zen garden
• Fans of be still
• Fans of meditation
• Fans of japanese garden
• Fans of calm


✦ PRODUCT DETAILS:
• 11 fl oz ceramic mug
• Lead and BPA-free
• Dishwasher and microwave safe
• Available in white or black

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",17.99,999,"zen garden, be still, meditation, japanese garden, calm, coffee mug, ceramic mug, tea mug, gift mug","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Home & Living > Kitchen & Dining > Mugs,Standard Shipping,Japanese Zen Collection,Color,"White, Black",ASUINK-D04-MU,D04,Coffee Mug,Japanese Zen
Zen Garden Art Print | Wall Decor Poster | Japanese Zen Gift,"✦ ZEN GARDEN

A tranquil, minimalist design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of zen garden
• Fans of be still
• Fans of meditation
• Fans of japanese garden
• Fans of calm


✦ PRODUCT DETAILS:
• Premium matte poster paper
• Available: 8×10, 11×14, 16×20, 18×24, 24×36 inches
• Fade-resistant print
• Ships in protective tube
• Unframed

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",19.99,999,"zen garden, be still, meditation, japanese garden, calm, wall art, art print, home decor, poster print","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Art & Collectibles > Prints > Digital Prints,Standard Shipping,Japanese Zen Collection,Size,"8x10, 11x14, 16x20, 18x24, 24x36",ASUINK-D04-PO,D04,Art Print,Japanese Zen
Cherry Blossom Branch T-Shirt | Unisex Cotton Tee | Japanese Zen Gift,"✦ CHERRY BLOSSOM BRANCH

A delicate, fleeting design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of cherry blossom
• Fans of sakura
• Fans of mono no aware
• Fans of japanese flower
• Fans of spring


✦ PRODUCT DETAILS:
• Unisex fitted tee
• 100% combed ringspun cotton
• Shoulder-to-shoulder taping, side-seamed
• Sizes: XS–3XL
• Machine wash cold, tumble dry low

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",24.99,999,"cherry blossom, sakura, mono no aware, japanese flower, spring, unisex tshirt, cotton tee, graphic tee, gift tshirt","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Clothing > Shirts & Tops > T-Shirts,Standard Shipping,Japanese Zen Collection,Size,"XS, S, M, L, XL, 2XL, 3XL",ASUINK-D05-TS,D05,Unisex T-Shirt,Japanese Zen
Cherry Blossom Branch Coffee Mug | 11oz Ceramic Cup | Japanese Zen Gift,"✦ CHERRY BLOSSOM BRANCH

A delicate, fleeting design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of cherry blossom
• Fans of sakura
• Fans of mono no aware
• Fans of japanese flower
• Fans of spring


✦ PRODUCT DETAILS:
• 11 fl oz ceramic mug
• Lead and BPA-free
• Dishwasher and microwave safe
• Available in white or black

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",17.99,999,"cherry blossom, sakura, mono no aware, japanese flower, spring, coffee mug, ceramic mug, tea mug, gift mug","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Home & Living > Kitchen & Dining > Mugs,Standard Shipping,Japanese Zen Collection,Color,"White, Black",ASUINK-D05-MU,D05,Coffee Mug,Japanese Zen
Cherry Blossom Branch Art Print | Wall Decor Poster | Japanese Zen Gift,"✦ CHERRY BLOSSOM BRANCH

A delicate, fleeting design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of cherry blossom
• Fans of sakura
• Fans of mono no aware
• Fans of japanese flower
• Fans of spring


✦ PRODUCT DETAILS:
• Premium matte poster paper
• Available: 8×10, 11×14, 16×20, 18×24, 24×36 inches
• Fade-resistant print
• Ships in protective tube
• Unframed

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",19.99,999,"cherry blossom, sakura, mono no aware, japanese flower, spring, wall art, art print, home decor, poster print","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Art & Collectibles > Prints > Digital Prints,Standard Shipping,Japanese Zen Collection,Size,"8x10, 11x14, 16x20, 18x24, 24x36",ASUINK-D05-PO,D05,Art Print,Japanese Zen
Origami Crane T-Shirt | Unisex Cotton Tee | Japanese Zen Gift,"✦ ORIGAMI CRANE

A elegant, hopeful design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of origami crane
• Fans of 1000 cranes
• Fans of japanese culture
• Fans of geometric
• Fans of gold


✦ PRODUCT DETAILS:
• Unisex fitted tee
• 100% combed ringspun cotton
• Shoulder-to-shoulder taping, side-seamed
• Sizes: XS–3XL
• Machine wash cold, tumble dry low

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",24.99,999,"origami crane, 1000 cranes, japanese culture, geometric, gold, unisex tshirt, cotton tee, graphic tee, gift tshirt","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Clothing > Shirts & Tops > T-Shirts,Standard Shipping,Japanese Zen Collection,Size,"XS, S, M, L, XL, 2XL, 3XL",ASUINK-D06-TS,D06,Unisex T-Shirt,Japanese Zen
Origami Crane Coffee Mug | 11oz Ceramic Cup | Japanese Zen Gift,"✦ ORIGAMI CRANE

A elegant, hopeful design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of origami crane
• Fans of 1000 cranes
• Fans of japanese culture
• Fans of geometric
• Fans of gold


✦ PRODUCT DETAILS:
• 11 fl oz ceramic mug
• Lead and BPA-free
• Dishwasher and microwave safe
• Available in white or black

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",17.99,999,"origami crane, 1000 cranes, japanese culture, geometric, gold, coffee mug, ceramic mug, tea mug, gift mug","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Home & Living > Kitchen & Dining > Mugs,Standard Shipping,Japanese Zen Collection,Color,"White, Black",ASUINK-D06-MU,D06,Coffee Mug,Japanese Zen
Origami Crane Art Print | Wall Decor Poster | Japanese Zen Gift,"✦ ORIGAMI CRANE

A elegant, hopeful design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of origami crane
• Fans of 1000 cranes
• Fans of japanese culture
• Fans of geometric
• Fans of gold


✦ PRODUCT DETAILS:
• Premium matte poster paper
• Available: 8×10, 11×14, 16×20, 18×24, 24×36 inches
• Fade-resistant print
• Ships in protective tube
• Unframed

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",19.99,999,"origami crane, 1000 cranes, japanese culture, geometric, gold, wall art, art print, home decor, poster print","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Art & Collectibles > Prints > Digital Prints,Standard Shipping,Japanese Zen Collection,Size,"8x10, 11x14, 16x20, 18x24, 24x36",ASUINK-D06-PO,D06,Art Print,Japanese Zen
Yin-Yang Minimalist T-Shirt | Unisex Cotton Tee | Japanese Zen Gift,"✦ YIN-YANG MINIMALIST

A balanced, pure design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of yin yang
• Fans of balance
• Fans of minimalist
• Fans of zen symbol
• Fans of harmony


✦ PRODUCT DETAILS:
• Unisex fitted tee
• 100% combed ringspun cotton
• Shoulder-to-shoulder taping, side-seamed
• Sizes: XS–3XL
• Machine wash cold, tumble dry low

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",24.99,999,"yin yang, balance, minimalist, zen symbol, harmony, unisex tshirt, cotton tee, graphic tee, gift tshirt","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Clothing > Shirts & Tops > T-Shirts,Standard Shipping,Japanese Zen Collection,Size,"XS, S, M, L, XL, 2XL, 3XL",ASUINK-D07-TS,D07,Unisex T-Shirt,Japanese Zen
Yin-Yang Minimalist Coffee Mug | 11oz Ceramic Cup | Japanese Zen Gift,"✦ YIN-YANG MINIMALIST

A balanced, pure design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of yin yang
• Fans of balance
• Fans of minimalist
• Fans of zen symbol
• Fans of harmony


✦ PRODUCT DETAILS:
• 11 fl oz ceramic mug
• Lead and BPA-free
• Dishwasher and microwave safe
• Available in white or black

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",17.99,999,"yin yang, balance, minimalist, zen symbol, harmony, coffee mug, ceramic mug, tea mug, gift mug","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Home & Living > Kitchen & Dining > Mugs,Standard Shipping,Japanese Zen Collection,Color,"White, Black",ASUINK-D07-MU,D07,Coffee Mug,Japanese Zen
Yin-Yang Minimalist Art Print | Wall Decor Poster | Japanese Zen Gift,"✦ YIN-YANG MINIMALIST

A balanced, pure design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of yin yang
• Fans of balance
• Fans of minimalist
• Fans of zen symbol
• Fans of harmony


✦ PRODUCT DETAILS:
• Premium matte poster paper
• Available: 8×10, 11×14, 16×20, 18×24, 24×36 inches
• Fade-resistant print
• Ships in protective tube
• Unframed

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",19.99,999,"yin yang, balance, minimalist, zen symbol, harmony, wall art, art print, home decor, poster print","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Art & Collectibles > Prints > Digital Prints,Standard Shipping,Japanese Zen Collection,Size,"8x10, 11x14, 16x20, 18x24, 24x36",ASUINK-D07-PO,D07,Art Print,Japanese Zen
Torii Gate Sunset T-Shirt | Unisex Cotton Tee | Japanese Zen Gift,"✦ TORII GATE SUNSET

A spiritual, beautiful design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of torii gate
• Fans of japan
• Fans of sunset
• Fans of spiritual
• Fans of journey within


✦ PRODUCT DETAILS:
• Unisex fitted tee
• 100% combed ringspun cotton
• Shoulder-to-shoulder taping, side-seamed
• Sizes: XS–3XL
• Machine wash cold, tumble dry low

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",24.99,999,"torii gate, japan, sunset, spiritual, journey within, unisex tshirt, cotton tee, graphic tee, gift tshirt","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Clothing > Shirts & Tops > T-Shirts,Standard Shipping,Japanese Zen Collection,Size,"XS, S, M, L, XL, 2XL, 3XL",ASUINK-D08-TS,D08,Unisex T-Shirt,Japanese Zen
Torii Gate Sunset Coffee Mug | 11oz Ceramic Cup | Japanese Zen Gift,"✦ TORII GATE SUNSET

A spiritual, beautiful design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of torii gate
• Fans of japan
• Fans of sunset
• Fans of spiritual
• Fans of journey within


✦ PRODUCT DETAILS:
• 11 fl oz ceramic mug
• Lead and BPA-free
• Dishwasher and microwave safe
• Available in white or black

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",17.99,999,"torii gate, japan, sunset, spiritual, journey within, coffee mug, ceramic mug, tea mug, gift mug","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Home & Living > Kitchen & Dining > Mugs,Standard Shipping,Japanese Zen Collection,Color,"White, Black",ASUINK-D08-MU,D08,Coffee Mug,Japanese Zen
Torii Gate Sunset Art Print | Wall Decor Poster | Japanese Zen Gift,"✦ TORII GATE SUNSET

A spiritual, beautiful design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of torii gate
• Fans of japan
• Fans of sunset
• Fans of spiritual
• Fans of journey within


✦ PRODUCT DETAILS:
• Premium matte poster paper
• Available: 8×10, 11×14, 16×20, 18×24, 24×36 inches
• Fade-resistant print
• Ships in protective tube
• Unframed

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",19.99,999,"torii gate, japan, sunset, spiritual, journey within, wall art, art print, home decor, poster print","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Art & Collectibles > Prints > Digital Prints,Standard Shipping,Japanese Zen Collection,Size,"8x10, 11x14, 16x20, 18x24, 24x36",ASUINK-D08-PO,D08,Art Print,Japanese Zen
Kokoro Kanji T-Shirt | Unisex Cotton Tee | Japanese Zen Gift,"✦ KOKORO KANJI

A deep, introspective design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of kokoro
• Fans of kanji
• Fans of heart mind
• Fans of japanese calligraphy
• Fans of soul


✦ PRODUCT DETAILS:
• Unisex fitted tee
• 100% combed ringspun cotton
• Shoulder-to-shoulder taping, side-seamed
• Sizes: XS–3XL
• Machine wash cold, tumble dry low

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",24.99,999,"kokoro, kanji, heart mind, japanese calligraphy, soul, unisex tshirt, cotton tee, graphic tee, gift tshirt","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Clothing > Shirts & Tops > T-Shirts,Standard Shipping,Japanese Zen Collection,Size,"XS, S, M, L, XL, 2XL, 3XL",ASUINK-D09-TS,D09,Unisex T-Shirt,Japanese Zen
Kokoro Kanji Coffee Mug | 11oz Ceramic Cup | Japanese Zen Gift,"✦ KOKORO KANJI

A deep, introspective design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of kokoro
• Fans of kanji
• Fans of heart mind
• Fans of japanese calligraphy
• Fans of soul


✦ PRODUCT DETAILS:
• 11 fl oz ceramic mug
• Lead and BPA-free
• Dishwasher and microwave safe
• Available in white or black

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",17.99,999,"kokoro, kanji, heart mind, japanese calligraphy, soul, coffee mug, ceramic mug, tea mug, gift mug","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Home & Living > Kitchen & Dining > Mugs,Standard Shipping,Japanese Zen Collection,Color,"White, Black",ASUINK-D09-MU,D09,Coffee Mug,Japanese Zen
Kokoro Kanji Art Print | Wall Decor Poster | Japanese Zen Gift,"✦ KOKORO KANJI

A deep, introspective design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of kokoro
• Fans of kanji
• Fans of heart mind
• Fans of japanese calligraphy
• Fans of soul


✦ PRODUCT DETAILS:
• Premium matte poster paper
• Available: 8×10, 11×14, 16×20, 18×24, 24×36 inches
• Fade-resistant print
• Ships in protective tube
• Unframed

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",19.99,999,"kokoro, kanji, heart mind, japanese calligraphy, soul, wall art, art print, home decor, poster print","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Art & Collectibles > Prints > Digital Prints,Standard Shipping,Japanese Zen Collection,Size,"8x10, 11x14, 16x20, 18x24, 24x36",ASUINK-D09-PO,D09,Art Print,Japanese Zen
Forest Bathing T-Shirt | Unisex Cotton Tee | Japanese Zen Gift,"✦ FOREST BATHING

A refreshing, healing design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of shinrin yoku
• Fans of forest bathing
• Fans of bamboo
• Fans of nature therapy
• Fans of japanese


✦ PRODUCT DETAILS:
• Unisex fitted tee
• 100% combed ringspun cotton
• Shoulder-to-shoulder taping, side-seamed
• Sizes: XS–3XL
• Machine wash cold, tumble dry low

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",24.99,999,"shinrin yoku, forest bathing, bamboo, nature therapy, japanese, unisex tshirt, cotton tee, graphic tee, gift tshirt","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Clothing > Shirts & Tops > T-Shirts,Standard Shipping,Japanese Zen Collection,Size,"XS, S, M, L, XL, 2XL, 3XL",ASUINK-D10-TS,D10,Unisex T-Shirt,Japanese Zen
Forest Bathing Coffee Mug | 11oz Ceramic Cup | Japanese Zen Gift,"✦ FOREST BATHING

A refreshing, healing design from the AsuInk Japanese Zen collection.

✦ PERFECT FOR:
• Fans of shinrin yoku
• Fans of forest bathing
• Fans of bamboo
• Fans of nature therapy
• Fans of japanese


✦ PRODUCT DETAILS:
• 11 fl oz ceramic mug
• Lead and BPA-free
• Dishwasher and microwave safe
• Available in white or black

✦ SHIPPING:
All items are printed on demand. Please allow 3-7 business days for production + shipping time.

All sales are final for custom print-on-demand items unless damaged/defective.",17.99,999,"shinrin yoku, forest bathing, bamboo, nature therapy, japanese, coffee mug, ceramic mug, tea mug, gift mug","Cotton, Ceramic, Poster Paper",i_did,FALSE,made_to_order,Home & Living > Kitchen & Dining > Mugs,Standard Shipping,Japanese Zen Collection,Color,"White, Black",ASUINK-D10-MU,D10,Coffee Mug,Japanese Zen
