カテゴリ,商品名,eBay販売価格(USD),メルカリ仕入れ目安(JPY),推定利益(USD),販売日,ニッチ度,備考
帯付きレコード,Journey Departure Rare Vintage w/OBI,$34,500-1000,$20+,2025-12,★★★★☆,ジャーニー帯付き
万年筆,Japanese Eyedropper Urushi 14k Gold Nib 40s-50s,$178,10000-30000,$100+,2026-02,★★★★★,漆塗り 14金ペン先
万年筆,1953 URUSHI ROCKY DIA Japanese 14K Flex Mint,$152,10000-30000,$80+,2025-12,★★★★★,1953年漆 ミント状態
万年筆,Kaweco Collection Sport Pearl Limited Edition,$92,15000-25000,$30+,2026-02,★★★★☆,カヴェコ限定
万年筆,Japanese MASTER Fountain Pen M Nib,$50,5000-15000,$10+,2025-12,★★★★☆,MASTERブランド
ポケモンカード,Pokemon e-Card Psyduck コダック,$278,5780,¥25428利益,通年,★★★★★,メルカリ5780円→eBay約41775円
ポケモンカード,Pokemon Japanese Vintage Holo Rare Card,$50-500,1000-10000,$30-400,通年,★★★★★,旧裏面ホロレアが特に高値
ポケモンカード,Pokemon Japanese Sealed Booster Box,$100-800,5000-30000,$50-600,通年,★★★★★,未開封BOXはプレミアム
ポケモンカード,Pokemon Japanese Promo Card Gym Limited,$30-200,500-5000,$20-150,通年,★★★★☆,ジムプロモ・配布限定
トレーディングカード,Yu-Gi-Oh Japanese Tournament Card,$50-500,1000-10000,$30-400,通年,★★★★★,遊戯王 大会限定カード
トレーディングカード,ONE PIECE Card Game Japanese Booster,$30-150,1000-5000,$15-100,通年,★★★★☆,ワンピースカード急成長中
トレーディングカード,Weiss Schwarz Japanese Anime Collaboration,$20-100,500-3000,$10-70,通年,★★★★☆,ヴァイスシュヴァルツ
レトロゲーム,Nintendo 3DS Console,$136,6500,¥8541利益,通年,★★★★☆,メルカリ6500円→eBay約20502円
レトロゲーム,Famicom Console Complete in Box,$80-300,3000-10000,$50-250,通年,★★★★★,箱付きファミコン
レトロゲーム,Super Famicom Japanese RPG Games,$20-100,500-3000,$10-70,通年,★★★★☆,日本限定RPGソフト
レトロゲーム,Game Boy Color/Advance Japan Exclusive,$30-150,1000-5000,$15-100,通年,★★★★☆,日本限定タイトル
レトロゲーム,PS Vita Console Japan,$80-200,5000-12000,$30-150,通年,★★★★☆,PS Vita本体
レトロゲーム,Dragon Quest IV Famicom,$90,3000,$50+,通年,★★★★☆,メルカリ3000円→eBay約13500円
アニメフィギュア,Nendoroid Limited Edition Japan Exclusive,$30-150,1500-5000,$15-100,通年,★★★★★,ねんどろいど限定品
アニメフィギュア,One Piece Scale Figure Bandai,$50-300,3000-15000,$25-200,通年,★★★★☆,ワンピース スケールフィギュア
アニメフィギュア,Dragon Ball Ichiban Kuji Prize Figure,$30-150,1000-5000,$15-100,通年,★★★★☆,一番くじ景品フィギュア
アニメフィギュア,Sailor Moon Vintage Alarm Clock,$93,2000,¥5940利益,通年,★★★★★,メルカリ2000円→eBay約14013円
アニメフィギュア,Gundam MG/PG Model Kit Bandai Limited,$40-200,2000-10000,$20-150,通年,★★★★☆,ガンプラ限定品 Premium Bandai
アニメフィギュア,Spy x Family Japan Exclusive Goods,$20-80,500-3000,$10-50,通年,★★★★☆,スパイファミリー日本限定
腕時計,SEIKO Vintage 6139-6002 Pogue Chronograph,$500-700,15000-40000,$300-500,通年,★★★★★,セイコーポーグ 人気No.1
腕時計,SEIKO 62MAS Vintage Diver 1965,$2000-3000,100000-200000,$500-1500,通年,★★★★★,62MAS 超高額
腕時計,SEIKO 5 Vintage Automatic,$30-150,2000-8000,$15-100,通年,★★★★☆,セイコー5 エントリーモデル
腕時計,G-SHOCK Japan Limited Edition Exclusive,$100-500,10000-30000,$50-300,通年,★★★★★,日本限定G-SHOCK
腕時計,G-SHOCK x Collaboration Model Japan,$150-600,15000-40000,$50-400,通年,★★★★★,コラボモデル MAISON KITSUNE等
腕時計,CASIO Vintage Calculator Watch Japan,$30-100,1000-5000,$15-60,通年,★★★☆☆,カシオ計算機付き時計
カメラ・レンズ,Nikon F3 Film Camera Body,$200-500,10000-25000,$100-350,通年,★★★★☆,ニコンF3 名機
カメラ・レンズ,Canon FD 50mm f/1.4 Vintage Lens,$80-200,3000-8000,$50-150,通年,★★★★☆,キヤノンFD 銘レンズ
カメラ・レンズ,Pentax 67 Medium Format Camera,$500-1500,30000-80000,$200-1000,通年,★★★★★,ペンタックス67 中判
カメラ・レンズ,Olympus OM-1 Film Camera,$150-400,8000-20000,$80-300,通年,★★★★☆,オリンパスOM-1
カメラ・レンズ,FUJIFILM X100 Series Digital,$800-1500,50000-100000,$200-700,通年,★★★★☆,フジX100シリーズ
カメラ・レンズ,Sony Cyber-shot RX100 Series,$200-600,15000-40000,$80-400,通年,★★★★☆,ソニーRX100
釣り具,SHIMANO Stella Vintage Spinning Reel,$200-750,10000-40000,$100-500,通年,★★★★★,ステラ ヴィンテージ
釣り具,DAIWA Certate Spinning Reel,$150-500,8000-25000,$80-350,通年,★★★★★,セルテート
釣り具,SHIMANO Calcutta Conquest Baitcast,$150-400,8000-20000,$80-300,通年,★★★★☆,カルカッタコンクエスト
釣り具,JACKALL Lure Japan Exclusive,$15-50,500-2000,$5-30,通年,★★★★☆,ジャッカル 日本限定ルアー
釣り具,DAIWA Sprinter ST-1000P Vintage,$30-100,1000-4000,$15-60,通年,★★★★☆,ダイワ スプリンター レトロ
伝統工芸品,Edo Kiriko Cut Glass Tumbler,$100-600,5000-30000,$50-400,通年,★★★★★,江戸切子 グラス
伝統工芸品,Kutani Ware Porcelain Set,$50-200,3000-10000,$25-150,通年,★★★★☆,九谷焼 食器セット
伝統工芸品,Arita Ware Gold Gilded Tea Set,$200-1700,10000-80000,$100-1200,通年,★★★★★,有田焼 金彩 茶器セット
伝統工芸品,Nousaku Tin Sake Cup Set,$30-100,2000-6000,$15-60,通年,★★★★☆,能作 錫 酒器
サンリオ・キャラクター,Sanrio Lucky Bag 2025 Hello Kitty Exclusive,$50-150,3000-8000,$25-100,通年,★★★★★,サンリオ福袋 限定品
サンリオ・キャラクター,Hello Kitty Japan Expo 2025 Limited Plush,$30-100,1500-5000,$15-60,通年,★★★★★,大阪万博限定
サンリオ・キャラクター,Sanrio Characters Letter Set Japan Only,$10-30,300-800,$5-15,通年,★★★☆☆,サンリオレターセット
ミニ四駆・プラモデル,Tamiya Mini 4WD Limited Edition,$20-80,500-3000,$10-50,通年,★★★★☆,タミヤミニ四駆限定
ミニ四駆・プラモデル,Premium Bandai Exclusive Gundam Kit,$40-200,2000-10000,$20-150,通年,★★★★★,プレバン限定ガンプラ
ミニ四駆・プラモデル,Tamiya 1/35 Military Model Kit,$20-60,1000-3000,$10-30,通年,★★★☆☆,タミヤ ミリタリー
小型家電,Sony Walkman Vintage WM-2,$100-250,3000-10000,$60-180,通年,★★★★★,ソニーウォークマン WM-2
小型家電,Sony Portable Radio Vintage,$30-100,1000-4000,$15-60,通年,★★★★☆,ソニー ポータブルラジオ
小型家電,Audio-Technica ATH Japan Headphones,$30-150,2000-8000,$15-100,通年,★★★★☆,オーテク ヘッドホン
小型家電,Panasonic Nanoe Hair Dryer,$212,19950,¥3193利益,通年,★★★☆☆,ナノケア ドライヤー
小型家電,Casio XV Series Calculator,$63,1500,¥3477利益,通年,★★★☆☆,カシオ電卓
ブランド品,Louis Vuitton Japan Vintage Bag,$200-1000,20000-80000,$80-700,通年,★★★☆☆,ルイヴィトン 日本中古
ブランド品,Vintage Levi's 501 Japan Selvedge Denim,$165-495,10000-30000,$80-350,通年,★★★★☆,リーバイス赤耳 日本製
スニーカー,Asics Japan Vintage Running Shoes,$50-200,3000-10000,$25-150,通年,★★★★☆,アシックス日本限定
スニーカー,Onitsuka Tiger Japan Made,$80-300,5000-15000,$40-200,通年,★★★★★,オニツカタイガー日本製
JDMパーツ,Nissan Skyline GT-R OEM Parts,$50-900,5000-50000,$20-700,通年,★★★★★,スカイラインGT-R純正パーツ
JDMパーツ,Toyota Supra JDM Headlight,$100-500,5000-25000,$50-350,通年,★★★★★,スープラ ヘッドライト
JDMパーツ,Honda Civic Type R Parts Japan,$30-300,3000-15000,$15-200,通年,★★★★☆,シビックタイプR パーツ
仮面ライダー・戦隊,Kamen Rider Belt DX Henshin,$50-300,3000-15000,$25-200,通年,★★★★★,仮面ライダー変身ベルト
仮面ライダー・戦隊,Super Sentai DX Megazord Robot,$50-200,2000-10000,$25-150,通年,★★★★☆,戦隊ロボ DXセット
仮面ライダー・戦隊,Ultraman Vintage Figure Japan,$30-150,1000-5000,$15-100,通年,★★★★☆,ウルトラマン ヴィンテージ
ミニカー,Tomica Limited Vintage Neo,$20-100,1000-5000,$10-60,通年,★★★★☆,トミカリミテッドヴィンテージ
ミニカー,Hot Wheels Japan Convention Exclusive,$30-200,1500-8000,$15-120,通年,★★★★★,ホットウィール日本コンベンション限定
日本製文房具,Pilot Vanishing Point Capless Fountain Pen,$80-200,5000-15000,$30-120,通年,★★★★☆,パイロット キャップレス
日本製文房具,Vintage Japanese Mechanical Pencil Discontinued,$20-100,500-3000,$10-60,通年,★★★★☆,廃番シャーペン
日本製文房具,Pilot Frixion Japan Exclusive Color Set,$10-30,500-1500,$3-15,通年,★★★☆☆,フリクション日本限定色
電子辞書,Casio Ex-word Japanese Learning,$30-100,2000-6000,$15-60,通年,★★★★☆,カシオ電子辞書 日本語学習
